,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
4251,caen,lyon,12,9,4,4,5,6,1,2,1,2,0,2,4,4,5,2,-1,2,france,0,4,2.83,1.5,2,2,H,L,0,1
4268,toulouse,monaco,3,14,5,5,10,5,3,1,1,1,2,2,5,6,6,6,-1,0,france,0,0,4.16,1.33,1,1,H,D,3,3
4270,saint-etienne,amiens,8,15,3,3,5,3,1,2,0,1,0,2,3,5,2,5,1,0,france,0,0,2.66,1.0,0,0,H,L,0,2
4282,nantes,nice,18,15,6,6,5,7,1,2,3,2,1,3,6,4,10,8,-4,-4,france,0,0,2.66,1.66,1,2,A,D,1,1
4297,nantes,reims,18,13,4,4,4,6,1,1,2,2,0,2,5,3,8,5,-3,-2,france,0,0,1.66,0.66,0,0,H,L,1,2
4301,angers,lille,19,3,3,3,0,7,0,0,3,2,1,0,4,6,8,1,-4,5,france,0,4,1.83,0.66,1,0,H,L,1,2
4310,angers,guingamp,8,20,7,7,10,1,3,1,3,0,1,6,9,4,9,17,0,-13,france,3,4,3.0,1.33,0,1,H,W,3,0
4315,caen,montpellier,17,4,6,6,6,11,1,3,2,3,2,1,7,6,9,4,-2,2,france,0,4,3.0,1.33,2,2,H,L,1,3
4316,bordeaux,lille,10,4,7,7,10,13,3,1,3,4,1,2,10,11,11,6,-1,5,france,0,0,2.66,1.5,1,0,H,W,2,1
4329,dijon,caen,2,17,3,3,9,2,3,0,0,0,2,1,8,2,1,5,7,-3,france,0,0,3.66,2.16,0,2,A,L,0,2
4330,reims,montpellier,6,11,3,3,6,4,2,0,1,1,1,1,3,3,4,3,-1,0,france,0,4,3.33,0.83,0,1,H,L,2,3
4332,reims,bordeaux,14,10,7,7,8,10,2,2,3,3,1,3,4,10,9,11,-5,-1,france,3,4,2.0,1.0,0,0,H,W,4,1
4335,lens,paris fc,3,5,7,8,18,15,6,0,1,4,3,1,12,9,3,7,9,2,france,0,0,4.0,0.8,0,0,H,W,1,0
4345,montpellier,nice,6,11,5,5,8,7,2,2,1,2,1,2,5,4,4,7,1,-3,france,0,4,1.83,0.33,1,0,H,L,0,1
4346,strasbourg,amiens,16,18,5,5,5,4,1,2,2,1,1,3,6,7,7,8,-1,-1,france,0,5,2.66,1.5,3,1,H,L,1,3
4351,montpellier,strasbourg,5,16,5,5,8,5,2,2,1,1,2,2,4,5,3,6,1,-1,france,0,0,1.33,0.66,1,1,H,D,0,0
4374,amiens,lille,15,4,4,4,4,7,1,1,2,2,1,1,5,6,5,2,0,4,france,0,0,2.0,0.5,2,3,H,W,1,0
4386,strasbourg,dijon,13,9,7,7,8,10,2,2,3,3,1,3,11,9,11,9,0,0,france,0,-4,2.66,1.16,3,0,H,W,3,2
4392,brest,chateauroux,4,12,8,8,16,10,5,1,2,2,4,2,12,6,7,6,5,0,france,0,0,3.83,1.33,5,1,A,D,2,2
4393,orleans,lorient,13,2,8,8,10,18,3,1,4,5,3,0,10,12,14,3,-4,9,france,0,0,2.66,0.66,2,0,A,L,1,3
4403,reims,dijon,10,5,5,5,7,9,2,1,2,3,0,2,3,9,5,6,-2,3,france,0,5,3.16,1.16,0,0,A,L,1,2
4404,angers,toulouse,13,4,5,5,6,10,2,0,3,3,1,1,8,6,9,7,-1,-1,france,0,4,2.5,1.0,0,0,A,L,0,2
4424,strasbourg,nantes,12,18,3,3,4,1,1,1,1,0,1,2,3,2,3,6,0,-4,france,0,5,2.66,1.66,2,3,H,W,1,0
4447,lens,sochaux,5,11,5,6,12,9,4,0,1,3,0,3,8,6,2,5,6,1,france,0,0,1.83,0.33,2,0,H,L,0,1
4475,red star,grenoble,19,9,8,8,4,11,1,1,6,3,2,3,5,8,14,8,-9,0,france,0,0,0.5,0.0,2,3,H,L,0,1
