,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff,Diff_Goal_Match
3111,1899 hoffenheim,borussia dortmund,3,4,34,34,55,55,15,10,9,15,10,9,66,64,48,47,18,17,germany,0,0,3.0,1.5,3,1,A,L,1,2,2,1,1,2
3133,werder bremen,bayer leverkusen,11,5,34,34,42,55,10,12,12,15,10,9,37,58,40,44,-3,14,germany,0,0,3.5,1.83,0,0,A,L,2,4,-21,-4,-17,0
3255,fsv mainz,werder bremen,14,11,34,34,36,42,9,9,16,10,12,12,38,37,52,40,-14,-3,germany,0,0,2.5,1.66,1,2,A,D,2,2,1,12,-11,-1
3261,sc freiburg,fc augsburg,15,12,34,34,36,41,8,12,14,10,11,13,32,43,56,46,-24,-3,germany,0,0,3.0,1.16,2,0,H,D,3,3,-11,10,-21,2
3303,vfb stuttgart,1899 hoffenheim,7,3,34,34,51,55,15,6,13,15,10,9,36,66,36,48,0,18,germany,0,0,3.0,1.16,2,0,A,L,0,2,-30,-12,-18,2
3399,vfr aalen,wehen wiesbaden,17,4,1,1,0,3,0,0,1,1,0,0,1,2,2,1,-1,1,germany,0,0,2.0,0.66,1,2,A,W,2,1,-1,1,-2,-1
3508,sportfreunde lotte,sv meppen,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,0,0,3.5,1.0,0,0,H,W,2,1,0,0,0,0
3525,vfl osnabruck,fc wurzburger kickers,5,16,1,1,3,0,1,0,0,0,0,1,2,1,1,2,1,-1,germany,0,0,1.8,0.8,2,1,A,L,1,2,1,-1,2,1
3634,borussia dortmund,rb leipzig,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,0,0,2.25,1.5,4,1,H,D,1,1,0,0,0,3
3655,fsv mainz,vfb stuttgart,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,0,0,2.66,0.83,1,0,H,W,3,2,0,0,0,1
3657,werder bremen,hannover 96,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,0,0,3.33,1.5,1,1,A,L,1,2,0,0,0,0
3658,sc freiburg,eintracht frankfurt,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,0,0,2.0,1.0,0,2,A,D,1,1,0,0,0,-2
3715,dynamo dresden,msv duisburg,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,0,0,1.5,0.5,1,0,H,W,2,0,0,0,0,1
3742,union berlin,erzgebirge aue,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,germany,0,0,2.33,0.5,1,0,H,D,0,0,0,0,0,1
3775,vfl bochum,sv sandhausen,10,18,2,2,3,0,1,0,1,0,0,2,2,1,2,6,0,-5,germany,0,0,3.0,1.5,1,0,H,L,2,3,1,-4,5,1
3776,sv darmstadt 98,msv duisburg,12,17,2,2,3,0,1,0,1,0,0,2,1,0,2,3,-1,-3,germany,0,0,2.75,1.75,3,0,H,L,1,2,1,-1,2,3
3888,fc carl zeiss jena,hallescher fc,3,20,2,2,6,0,2,0,0,0,0,2,5,1,3,4,2,-3,germany,0,0,2.5,0.5,0,3,H,W,2,1,4,-1,5,-3
3889,fortuna koln,karlsruher sc,12,13,2,2,3,2,1,0,1,0,2,0,3,2,5,2,-2,0,germany,0,0,2.5,1.5,0,1,H,W,1,0,1,3,-2,-1
3890,vfr aalen,fc wurzburger kickers,15,19,2,2,1,0,0,1,1,0,0,2,1,1,2,4,-1,-3,germany,0,0,3.4,1.2,3,2,H,D,2,2,0,-2,2,1
3908,sc paderborn,vfl bochum,10,5,3,3,4,6,1,1,1,2,0,1,4,3,3,2,1,1,germany,0,4,3.66,1.5,2,2,H,W,2,0,1,1,0,0
3918,ssv jahn regensburg,holstein kiel,12,6,2,2,3,4,1,0,1,1,1,0,2,4,3,1,-1,3,germany,0,5,2.33,1.16,0,0,A,D,1,1,-2,2,-4,0
3981,sportfreunde lotte,sg sonnenhof groaspach,19,17,2,2,1,1,0,1,1,0,1,1,1,3,5,4,-4,-1,germany,0,0,2.25,1.5,0,2,H,D,1,1,-2,1,-3,-2
3982,hansa rostock,wehen wiesbaden,13,14,2,2,3,3,1,0,1,1,0,1,2,2,3,3,-1,-1,germany,0,0,2.16,0.83,3,2,A,L,0,2,0,0,0,1
3991,wehen wiesbaden,energie cottbus,6,2,2,2,4,4,1,1,0,1,1,0,2,3,1,0,1,3,germany,0,0,2.25,1.25,0,2,H,D,0,0,-1,1,-2,-2
4040,wehen wiesbaden,unterhaching,14,3,4,4,4,8,1,1,2,2,2,0,7,7,9,4,-2,3,germany,0,0,2.66,1.33,1,2,A,W,1,0,0,5,-5,-1
4102,fsv frankfurt 1899,sv waldhof mannheim,11,14,3,3,4,3,1,1,1,2,0,1,4,6,2,4,2,2,germany,0,0,1.5,0.5,1,5,H,L,0,1,-2,-2,0,-4
4125,arminia bielefeld,dynamo dresden,11,7,1,1,1,3,0,1,0,1,0,0,1,1,1,0,0,1,germany,0,0,2.5,0.5,2,1,H,L,2,3,0,1,-1,1
4167,schalke 04,bayern munchen,17,1,4,4,0,12,0,0,4,4,0,0,2,11,8,2,-6,9,germany,0,5,2.66,1.66,0,2,A,L,1,2,-9,6,-15,-2
4190,bayern munchen,bayer leverkusen,2,16,2,2,6,0,2,0,0,0,0,2,6,1,1,5,5,-4,germany,4,4,3.16,1.33,3,1,A,W,6,2,5,-4,9,2
4201,vfb stuttgart,bayern munchen,15,7,1,1,0,3,0,0,1,1,0,0,0,3,1,1,-1,2,germany,3,5,3.0,1.66,0,3,H,L,1,4,-3,0,-3,-3
4211,bayer leverkusen,borussia dortmund,11,3,5,5,6,11,2,0,3,3,2,0,5,15,9,3,-4,12,germany,4,4,3.33,1.0,2,4,A,L,0,4,-10,6,-16,-2
4216,schalke 04,hertha berlin,13,9,1,1,0,3,0,0,1,1,0,0,1,1,2,0,-1,1,germany,0,4,2.0,0.66,0,2,H,W,1,0,0,2,-2,-2
4224,eintracht frankfurt,rb leipzig,14,13,3,3,3,4,1,0,2,1,1,1,4,5,5,7,-1,-2,germany,0,0,3.25,1.75,1,1,H,W,2,1,-1,-2,1,0
4227,1899 hoffenheim,borussia dortmund,11,2,3,3,3,7,1,0,2,2,1,0,5,7,6,2,-1,5,germany,0,0,3.33,1.33,1,1,H,W,3,1,-2,4,-6,0
4229,vfb stuttgart,fortuna dusseldorf,16,9,3,3,1,4,0,1,2,1,1,1,3,4,7,4,-4,0,germany,0,0,1.75,1.0,0,0,H,W,2,0,-1,3,-4,0
