,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff
3260,valladolid,albacete,5,17,42,42,67,49,19,10,13,11,16,15,69,35,55,46,14,-11,spain,0,0,2.5,1.5,3,2,H,W,2,1,34,9,25
3625,girona,real madrid,13,6,1,1,1,3,0,1,0,1,0,0,0,2,0,0,0,2,spain,3,0,6.0,1.5,1,4,H,W,6,3,-2,0,-2
3630,celta,espanyol,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,0,2.66,1.83,1,1,H,D,2,2,0,0,0
3635,valencia,atletico madrid,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,5,2.16,0.83,1,1,H,W,1,0,0,0,0
3639,real madrid,getafe,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,6,5.16,2.5,2,0,H,W,3,1,0,0,0
3644,villarreal,real sociedad,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,spain,0,0,3.16,2.5,1,2,A,L,2,4,0,0,0
3648,villarreal,girona,13,16,2,2,1,1,0,1,1,0,1,1,1,1,2,4,-1,-3,spain,0,0,3.0,1.25,0,1,A,W,2,0,0,-2,2
3666,leganes,real sociedad,14,6,1,1,0,3,0,0,1,1,0,0,1,2,2,1,-1,1,spain,0,0,2.5,1.25,2,2,H,W,3,2,-1,1,-2
3672,eibar,real sociedad,19,6,2,2,0,4,0,0,2,1,1,0,1,4,4,3,-3,1,spain,0,0,2.66,1.33,2,1,A,D,0,0,-3,1,-4
3706,getafe,eibar,17,16,1,1,0,0,0,0,1,0,0,1,0,1,2,2,-2,-1,spain,0,0,2.0,1.33,2,0,H,L,0,1,-1,0,-1
3857,cordoba,numancia,3,21,1,1,3,0,1,0,0,0,0,1,1,0,0,1,1,-1,spain,0,-4,2.33,1.83,3,3,A,L,1,2,1,-1,2
4037,numancia,cadiz,7,5,1,1,1,3,0,1,0,1,0,0,3,1,3,0,0,1,spain,0,4,2.5,0.66,1,1,A,L,0,1,2,3,-1
4176,leganes,fc barcelona,20,1,5,5,1,13,0,1,4,4,1,0,4,16,10,5,-6,11,spain,0,4,4.0,1.75,2,1,H,W,3,1,-12,5,-17
4183,atletico madrid,eibar,10,15,3,3,4,3,1,1,1,1,0,2,2,3,3,5,-1,-2,spain,0,4,2.5,0.83,1,1,A,D,2,2,-1,-2,1
4188,real madrid,espanyol,2,5,5,5,11,8,3,2,0,2,2,1,11,5,3,3,8,2,spain,0,5,3.16,1.83,1,0,H,L,0,1,6,0,6
4191,real sociedad,fc barcelona,4,1,4,4,7,9,2,1,1,3,0,1,6,12,5,3,1,9,spain,0,5,3.66,1.66,1,2,H,W,1,0,-6,2,-8
4195,sevilla,real madrid,9,2,5,5,7,13,2,1,2,4,1,0,10,12,6,3,4,9,spain,0,0,4.5,2.16,3,0,H,W,3,2,-2,3,-5
4208,athletic bilbao,real madrid,4,2,3,4,5,10,1,2,0,3,1,0,4,10,3,2,1,8,spain,0,4,2.83,1.5,1,1,A,D,1,1,-6,1,-7
4210,fc barcelona,athletic bilbao,1,15,6,5,13,6,4,1,1,1,3,1,17,7,7,9,10,-2,spain,0,5,2.5,1.5,1,1,H,W,2,0,10,-2,12
4218,real madrid,leganes,1,15,2,2,6,1,2,0,0,0,1,1,6,3,1,4,5,-1,spain,0,5,3.33,2.16,4,1,A,L,1,2,3,-3,6
4230,sevilla,getafe,8,10,3,3,4,4,1,1,1,1,1,1,4,2,2,2,2,0,spain,0,0,2.5,0.66,0,2,H,D,1,1,2,0,2
